Sunset Laboratory OCEC Results 
Date Calculated:  01-09-2018
Calculation Program version used: RTCalc705
Sample ID,Thermal/Optical OC (ugC/STPm^3),Thermal/Optical EC (ugC/STPm^3),OC=TC-BC (ugC/STPm^3),BC (ugC/STPm^3),TC (ugC/STPm^3),Start Date/Time,Mid-time of Collection,Sample Volume - STP m^3,OC(ug),OC unc,EC(ug),EC unc,CC(ug/m^3),CC unc,TC(ug),TC unc,EC/TC ratio,CalConst,Punch Area,calibration area,transit time,Split time(sec),Manual split?(sec),Init.Abs.,Abs.Coef.,Atm.Pres.mmHg,Atm.Temp.degC,OCPk1-ug C,OCPk2-ug C,OCPk3-ug C,OCPk4-ug C,Pyrolized C ug,True EC ug C,BC ug C,BC ABS,OptABS Coef,CO2_ndirC3,CO2_ndirC2,CO2_ndirC1,CO2_ndirC0,NDIR_Type,Laser-Temp Correction,SBasic Ver,Inst VBasic Ver
kpuszta, 14.47452 , 2.851236 , 16.57539 , 0.7503698 , 17.32576 ,11/28/2017 5:00:01 PM ,11/28/2017 6:18:00 PM , 1.328054 , 19.22294 , 1.161147 , 3.786594 , 0.3893297 , 0 ,ug/m^3, 23.00954 , 1.450477 , 0.1645663 , 26.16 , 1.306 ,43303.0, 6 ,527,<--, 0.3423715 , 11.80843 , 746.7692 ,-2.647436 , 2.42371 , 3.445873 , 8.733089 , 4.596713 , 0.1171983 , 3.786594 , 0.9965314 , 0.3075917 , 40.31131 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9354202, 17266 ,RTOCEC62361
kpuszta, 4.479262 , 0.3222653 , 3.718793 , 1.082735 , 4.801528 ,11/28/2017 8:00:01 PM ,11/28/2017 9:18:00 PM , 1.32051 , 5.914911 , 0.4957455 , 0.4255545 , 0.2212777 , 0 ,ug/m^3, 6.340466 , 0.6170233 , 6.711724E-02 , 26.16 , 1.306 ,43953.0, 6 ,521,<--, 0.4061949 , 124.6586 , 746.1411 ,-1.205128 , 1.243929 , 0.8838441 , 2.465836 , 1.345705 , 4.701931E-02 , 0.4255545 , 1.429762 , 0.4260544 , 38.91746 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.934806, 17266 ,RTOCEC62361
kpuszta, 5.089488 , 0.2672198 , 4.390681 , 0.9660265 , 5.356708 ,11/28/2017 11:00:01 PM ,11/29/2017 12:18:00 AM , 1.319463 , 6.715391 , 0.5357695 , 0.3525866 , 0.2176293 , 0 ,ug/m^3, 7.067977 , 0.6533989 , 4.988508E-02 , 26.16 , 1.306 ,43478.0, 6 ,521,<--, 0.3677833 , 136.2289 , 745.7756 ,-1.230769 , 1.244883 , 1.027074 , 2.886276 , 1.539107 , 4.632964E-02 , 0.3525866 , 1.274636 , 0.3844928 , 39.39537 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9349543, 17266 ,RTOCEC62361
kpuszta, 4.79475 , 1.004519E-02 , 3.896386 , 0.9084094 , 4.804795 ,11/29/2017 2:00:01 AM ,11/29/2017 3:18:00 AM , 1.313249 , 6.2967 , 0.514835 , 1.319183E-02 , 0.2006596 , 0 ,ug/m^3, 6.309892 , 0.6154946 , 2.090659E-03 , 26.16 , 1.306 ,43627.0, 6 ,522,<--, 0.34426 , 3408.197 , 745.0064 ,-0.2948718 , 1.11411 , 1.021767 , 2.822452 , 1.351563 , 4.317326E-02 , 1.319183E-02 , 1.192968 , 0.3622393 , 39.65611 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9336201, 17266 ,RTOCEC62361
kpuszta, 3.141547 ,-4.221769E-02 , 2.450462 , 0.6488671 , 3.099329 ,11/29/2017 5:00:01 AM ,11/29/2017 6:18:00 AM , 1.307659 , 4.108071 , 0.4054036 ,-5.520633E-02 , 0.1972397 , 0 ,ug/m^3, 4.052865 , 0.5026432 ,-1.362156E-02 , 26.16 , 1.306 ,43595.0, 6 ,519,<--, 0.259437 ,-613.7426 , 744.7628 , 1 , 0.6360729 , 0.6654763 , 1.936422 , 0.8899021 , 3.240371E-02 ,-5.520633E-02 , 0.8484966 , 0.2652917 , 40.83352 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9340249, 17266 ,RTOCEC62361
kpuszta, 4.896083 , 0.8330029 , 4.719572 , 1.009514 , 5.729086 ,11/29/2017 8:00:01 AM ,11/29/2017 9:18:00 AM , 1.304486 , 6.386871 , 0.5193436 , 1.086641 , 0.254332 , 0 ,ug/m^3, 7.473512 , 0.6736756 , 0.1453989 , 26.16 , 1.306 ,43478.0, 6 ,520,<--, 0.3807741 , 45.76406 , 744.8654 , 1.532051 , 1.029481 , 1.048735 , 2.906132 , 1.424787 , 5.294816E-02 , 1.086641 , 1.316896 , 0.3959056 , 39.26297 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9331933, 17266 ,RTOCEC62361
kpuszta, 5.804566 , 1.014534 , 5.265676 , 1.553425 , 6.819101 ,11/29/2017 11:00:01 AM ,11/29/2017 12:18:00 PM , 1.297422 , 7.530973 , 0.5765486 , 1.31628 , 0.265814 , 0 ,ug/m^3, 8.847253 , 0.7423626 , 0.1487783 , 26.16 , 1.306 ,43445.0, 6 ,520,<--, 0.5392311 , 53.502 , 744.1411 , 2.724359 , 1.248237 , 1.237399 , 3.207001 , 1.830508 , 6.804189E-02 , 1.31628 , 2.015448 , 0.5754828 , 37.291 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9322712, 17266 ,RTOCEC62361
kpuszta, 7.6841 , 1.594891 , 7.43494 , 1.844052 , 9.278992 ,11/29/2017 2:00:01 PM ,11/29/2017 3:18:00 PM , 1.301217 , 9.998684 , 0.6999342 , 2.0753 , 0.303765 , 0 ,ug/m^3, 12.07398 , 0.9036992 , 0.1718819 , 26.16 , 1.306 ,43829.0, 6 ,521,<--, 0.6182473 , 38.90672 , 744 , 1.942308 , 1.561996 , 1.746427 , 4.111804 , 2.559954 , 9.072349E-02 , 2.0753 , 2.399512 , 0.6678864 , 36.35154 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9313318, 17266 ,RTOCEC62361
kpuszta, 7.582584 , 1.661665 , 7.273173 , 1.971076 , 9.244249 ,11/29/2017 5:00:01 PM ,11/29/2017 6:18:00 PM , 1.303429 , 9.883359 , 0.694168 , 2.165863 , 0.3082931 , 0 ,ug/m^3, 12.04922 , 0.9024611 , 0.1797512 , 26.16 , 1.306 ,43639.0, 6 ,523,<--, 0.6471105 , 39.02031 , 743.4359 , 1 , 1.572394 , 1.670706 , 3.891119 , 2.678404 , 9.111849E-02 , 2.165863 , 2.569157 , 0.7074708 , 35.96342 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9324349, 17266 ,RTOCEC62361
kpuszta, 7.062168 , 1.340665 , 6.794393 , 1.60844 , 8.402833 ,11/29/2017 8:00:01 PM ,11/29/2017 9:18:00 PM , 1.300997 , 9.187859 , 0.659393 , 1.744201 , 0.28721 , 0 ,ug/m^3, 10.93206 , 0.846603 , 0.1595492 , 26.16 , 1.306 ,43315.0, 6 ,523,<--, 0.5549874 , 41.55561 , 742.218 , 1.00641 , 1.253796 , 1.643946 , 3.874929 , 2.387406 , 0.0845527 , 1.744201 , 2.092576 , 0.5943667 , 37.09509 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9287009, 17266 ,RTOCEC62361
kpuszta, 5.806393 , 0.9205659 , 5.441802 , 1.285157 , 6.726959 ,11/29/2017 11:00:01 PM ,11/30/2017 12:18:00 AM , 1.296337 , 7.527043 , 0.5763521 , 1.193364 , 0.2596682 , 0 ,ug/m^3, 8.720407 , 0.7360203 , 0.1368473 , 26.16 , 1.306 ,42856.0, 6 ,520,<--, 0.4633245 , 50.70556 , 740.4744 , 2 , 1.007187 , 1.403957 , 3.43176 , 1.654839 , 6.653538E-02 , 1.193364 , 1.665997 , 0.4876782 , 38.22983 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.928143, 17266 ,RTOCEC62361
kpuszta, 4.934576 , 0.7039887 , 4.728016 , 0.9105486 , 5.638565 ,11/30/2017 2:00:01 AM ,11/30/2017 3:18:00 AM , 1.292351 , 6.377206 , 0.5188603 , 0.9098008 , 0.24549 , 0 ,ug/m^3, 7.287007 , 0.6643504 , 0.1248525 , 26.16 , 1.306 ,42584.0, 6 ,519,<--, 0.3384149 , 48.57875 , 737.9359 , 1.615385 , 0.8956716 , 1.258118 , 2.921069 , 1.318321 , 5.160248E-02 , 0.9098008 , 1.176749 , 0.3577882 , 39.70868 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9288716, 17266 ,RTOCEC62361
kpuszta, 3.473988 , 0.4893543 , 3.29347 , 0.6698722 , 3.963342 ,11/30/2017 5:00:01 AM ,11/30/2017 6:18:00 AM , 1.287622 , 4.473182 , 0.4236591 , 0.6301032 , 0.2315052 , 0 ,ug/m^3, 5.103285 , 0.5551642 , 0.1234701 , 26.16 , 1.306 ,42721.0, 6 ,518,<--, 0.2596568 , 53.81844 , 735.5897 , 1.974359 , 0.5951995 , 0.9056585 , 2.116877 , 0.860345 , 3.674071E-02 , 0.6301032 , 0.8625419 , 0.2693485 , 40.78284 ,-3.6375E-05 , 0.053575 , 15.4506 , 1.10906E-04 , 6220 , 1Linear-0.9280666, 17266 ,RTOCEC62361
